Strain,Mash,Defense_Systems,Prophages,Target_Proteins,Spacer_Hit_Prophages
GCA_963445385.1,292,Gao_Qat;JukAB;PrrC;RosmerTA;Shedu;Wadjet,P0009;P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0015;P0016;P0046;P0054;P0081;P0087
GCA_963445405.1,292,AbiD;AbiE;CBASS;CRISPR-Cas;DarTG;Gabija;Gao_Iet;R-M;dCTPdeaminase;pAgo,P0030;P0075;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0006;P0007;P0011;P0014;P0015;P0016;P0019;P0022;P0026;P0032;P0034;P0037;P0038;P0041;P0042;P0044;P0045;P0046;P0047;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0081;P0082;P0083;P0084;P0087
GCA_963445415.1,292,AbiD;BREX;CRISPR-Cas;R-M,P0041;P0056,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0016;P0019;P0021;P0026;P0032;P0034;P0037;P0046;P0047;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0082;P0083;P0084
GCA_963445425.1,292,Druantia;Gabija;JukAB;Lamassu-Fam;Mokosh;PsyrTA;R-M;Wadjet;Zorya,P0008;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0038;P0045;P0046;P0047;P0048;P0059;P0060;P0062;P0065;P0067;P0071;P0073;P0081
GCA_963445435.1,292,AbiE;CBASS;Druantia;JukAB;Mokosh;R-M;RloC;Wadjet,P0050;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445455.1,292,CRISPR-Cas;Gabija;R-M;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0026;P0032;P0034;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_963445465.1,292,AbiE;CBASS;Druantia;R-M;RloC;RosmerTA;Tiamat,P0001;P0010;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,None
GCA_963445475.1,292,CBASS;CRISPR-Cas;Druantia;Gabija;Lamassu-Fam;Mokosh;PD-T7-4;Pycsar;R-M;Wadjet;Zorya,,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0034;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0071;P0072;P0081
GCA_963445485.1,292,Mokosh;R-M;Retron,,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0016;P0019;P0026;P0032;P0034;P0037;P0042;P0046;P0047;P0049;P0060;P0062;P0067;P0070;P0071;P0074;P0081;P0083;P0084;P0087
GCA_963445505.1,292,AbiD;CRISPR-Cas;R-M;Retron,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0015;P0016;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0044;P0045;P0046;P0047;P0048;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084;P0087
GCA_963445515.1,292,DRT;Gabija;JukAB;Mokosh;Pycsar;R-M;RosmerTA,P0015;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0065;P0081
GCA_963445535.1,292,CRISPR-Cas;Paris;Shedu;Zorya,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0016;P0017;P0019;P0021;P0022;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0048;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0081;P0082;P0084
GCA_963445545.1,292,CRISPR-Cas;PD-Lambda-5;PD-T7-3;R-M;Shango,P0041,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0014;P0015;P0016;P0019;P0029;P0032;P0037;P0038;P0041;P0043;P0046;P0047;P0048;P0053;P0059;P0060;P0065;P0070;P0081;P0083;P0084;P0087
GCA_963445555.1,292,AbiE;CBASS;DISARM;JukAB;Mokosh;R-M;RloC;Shedu,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445565.1,292,AbiE;CBASS;Gabija;Gao_Iet;JukAB;Lamassu-Fam;Mokosh;Pycsar;R-M;Shedu;Wadjet,P0033;P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445575.1,292,Borvo;CBASS;Druantia;Gabija;JukAB;Mokosh;R-M;Shedu,P0050,AmpD;DUF1615 protein;TpsB,P0001;P0007;P0011;P0016;P0017;P0019;P0032;P0037;P0040;P0042;P0046;P0049;P0065;P0072;P0074;P0081;P0084
GCA_963445585.1,292,CBASS;CRISPR-Cas;Druantia;Gabija;Lamassu-Fam;Mokosh;PD-T7-4;Pycsar;R-M;Wadjet;Zorya,P0054,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0034;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0071;P0072;P0081
GCA_963445605.1,292,Druantia;Hachiman;Lamassu-Fam;R-M,P0029,AmpD;DUF1615 protein;TpsB,P0016;P0037;P0059;P0065;P0081
GCA_963445615.1,292,BREX;Gabija;Mokosh;PD-T4-8;Pycsar;R-M;RosmerTA,P0051;P0053;P0059,AmpD;DUF1615 protein;TpsB,None
GCA_963445625.1,292,DRT;DS-6;Gabija;JukAB;Mokosh;Prithvi;Pycsar;R-M;RosmerTA,P0015;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0065;P0081
GCA_963445635.1,292,CRISPR-Cas;PsyrTA;Septu,P0076,DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0045;P0046;P0047;P0048;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0071;P0073;P0074;P0079;P0081;P0084
GCA_963445645.1,292,CRISPR-Cas;DRT;Gabija;Lamassu-Fam;MazEF;PD-T7-3;Pycsar;Zorya,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0016;P0017;P0019;P0026;P0032;P0037;P0040;P0043;P0046;P0047;P0060;P0065;P0067;P0070;P0071;P0073;P0084
GCA_963445655.1,292,Bunzi;R-M;Wadjet,P0061,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0038;P0040;P0045;P0046;P0047;P0048;P0059;P0065;P0067;P0071;P0081
GCA_963445675.1,292,AbiE;CBASS;Mokosh;R-M;RosmerTA;Wadjet,P0012;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445695.1,292,AbiD;AbiE;CBASS;CRISPR-Cas;DarTG;Druantia;R-M;RloC;Shedu;dCTPdeaminase;pAgo,P0015;P0030;P0075;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0006;P0007;P0011;P0014;P0015;P0016;P0019;P0022;P0026;P0032;P0034;P0037;P0038;P0041;P0042;P0044;P0045;P0046;P0047;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0081;P0082;P0083;P0084;P0087
GCA_963445715.1,292,CRISPR-Cas;Septu,P0050;P0078,AmpD;DUF1615 protein;Gamp2;TpsB,P0004;P0007;P0008;P0011;P0012;P0014;P0015;P0016;P0018;P0021;P0022;P0030;P0034;P0037;P0038;P0042;P0044;P0045;P0046;P0047;P0048;P0049;P0052;P0054;P0057;P0058;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0078;P0079;P0081;P0083;P0084;P0087;P0088
GCA_963445725.1,292,AbiE;CBASS;DISARM;JukAB;Mokosh;R-M;RloC;Shedu,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445745.1,292,AbiD;AbiE;CBASS;CRISPR-Cas;DarTG;Druantia;Gabija;Gao_Iet;R-M;RloC;dCTPdeaminase;pAgo,P0075;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0006;P0007;P0011;P0014;P0015;P0016;P0019;P0022;P0026;P0032;P0034;P0037;P0038;P0041;P0042;P0044;P0045;P0046;P0047;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0081;P0082;P0083;P0084;P0087
GCA_963445755.1,292,CBASS;CRISPR-Cas;Gao_Iet;PD-T4-5;pAgo,P0053;P0074,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0070;P0081;P0083
GCA_963445785.1,292,AbiE;CBASS;CRISPR-Cas;Druantia;JukAB;Mokosh;PsyrTA;R-M;Wadjet,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0037;P0042;P0046;P0076;P0081;P0083
GCA_963445795.1,292,AbiE;CBASS;DISARM;JukAB;Mokosh;R-M;RloC;Shedu,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445805.1,292,AbiD;AbiE;CBASS;CRISPR-Cas;DarTG;Gabija;Gao_Iet;R-M;dCTPdeaminase;pAgo,P0030;P0075;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0006;P0007;P0011;P0014;P0015;P0016;P0019;P0022;P0026;P0032;P0034;P0037;P0038;P0041;P0042;P0044;P0045;P0046;P0047;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0081;P0082;P0083;P0084;P0087
GCA_963445835.1,292,AbiE;CBASS;DRT;Gao_Iet;JukAB;Mokosh;R-M;RloC;RosmerTA,P0015;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0065;P0081
GCA_963445865.1,292,DISARM;Gao_Qat;JukAB;PD-Lambda-5;R-M;Shedu;Wadjet,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445875.1,292,CRISPR-Cas,P0029,AmpD;DUF1615 protein;TpsB,P0001;P0006;P0007;P0011;P0012;P0014;P0016;P0019;P0022;P0037;P0038;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0071;P0081;P0084
GCA_963445895.1,292,CBASS;CRISPR-Cas;Mokosh;R-M;Shango,P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0002;P0007;P0011;P0012;P0014;P0015;P0016;P0017;P0018;P0019;P0021;P0024;P0026;P0029;P0030;P0031;P0032;P0033;P0035;P0036;P0037;P0038;P0040;P0044;P0045;P0046;P0047;P0054;P0055;P0058;P0059;P0060;P0062;P0065;P0067;P0069;P0070;P0071;P0074;P0077;P0078;P0080;P0081;P0083;P0084;P0085;P0086;P0087;P0088
GCA_963445915.1,292,CRISPR-Cas;Gabija;R-M;Zorya,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0026;P0032;P0034;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_963445925.1,292,All_UG;BstA;CRISPR-Cas;Druantia;Gabija;Hna;Lamassu-Fam;PD-T7-2;Pycsar;R-M;RloC;Tiamat,P0007;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0002;P0007;P0011;P0012;P0013;P0014;P0015;P0016;P0017;P0018;P0019;P0021;P0024;P0026;P0029;P0030;P0031;P0032;P0033;P0034;P0035;P0036;P0037;P0038;P0040;P0044;P0045;P0046;P0047;P0049;P0054;P0055;P0058;P0059;P0060;P0062;P0065;P0067;P0069;P0070;P0071;P0073;P0074;P0077;P0078;P0080;P0081;P0083;P0084;P0085;P0086;P0087;P0088
GCA_963445935.1,292,AbiE;CBASS;Druantia;JukAB;Mokosh;R-M;RloC;Wadjet,P0050;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963445955.1,292,CRISPR-Cas;Dnd;Tiamat,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0047;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0074;P0080;P0081;P0083;P0084;P0085;P0086;P0087;P0088
GCA_963445975.1,292,CRISPR-Cas;DRT;R-M,P0050;P0052,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0009;P0011;P0016;P0017;P0019;P0021;P0026;P0029;P0032;P0037;P0042;P0046;P0047;P0060;P0062;P0065;P0081;P0084;P0088
GCA_963445995.1,292,CBASS;CRISPR-Cas;Druantia;Gabija;Lamassu-Fam;Mokosh;PD-T7-4;Pycsar;R-M;Wadjet;Zorya,,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0034;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0071;P0072;P0081
GCA_963446005.1,292,CRISPR-Cas,P0029,AmpD;DUF1615 protein;TpsB,P0001;P0006;P0007;P0011;P0012;P0014;P0016;P0019;P0022;P0037;P0038;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0071;P0081;P0084
GCA_963446015.1,292,BREX;CRISPR-Cas;pAgo,P0029,AmpD;DUF1615 protein;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0026;P0032;P0037;P0038;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0052;P0057;P0059;P0060;P0065;P0067;P0071;P0081;P0084
GCA_963446025.1,292,Gabija;PD-T7-3;R-M,P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0021;P0034;P0037;P0042;P0047;P0049;P0052;P0057;P0059;P0060;P0062;P0067;P0071;P0073;P0079;P0081
GCA_963446045.1,292,AbiE;CBASS;CRISPR-Cas;R-M;Retron;Thoeris,P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0045;P0046;P0047;P0048;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0071;P0073;P0074;P0079;P0081;P0084
GCA_963446075.1,292,DISARM;PD-T7-4;R-M;RloC;Shedu,P0041,AmpD;DUF1615 protein;Gamp2;TpsB,None
GCA_963446105.1,292,CRISPR-Cas;R-M,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0003;P0007;P0011;P0012;P0013;P0014;P0016;P0017;P0019;P0021;P0022;P0032;P0034;P0037;P0038;P0040;P0041;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0071;P0073;P0074;P0081
GCA_963446135.1,292,AbiH;CBASS;CRISPR-Cas;Eleos;Gabija;Mokosh;Pycsar;R-M;Septu,P0015;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0029;P0032;P0034;P0037;P0038;P0042;P0043;P0045;P0046;P0047;P0048;P0049;P0059;P0060;P0065;P0067;P0071;P0072;P0073;P0081;P0084
GCA_963446165.1,292,Borvo;CRISPR-Cas;Hachiman;PD-Lambda-2,P0029;P0087,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0003;P0007;P0011;P0012;P0014;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0039;P0040;P0043;P0045;P0046;P0047;P0048;P0049;P0052;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084
GCA_963446175.1,292,CBASS;CRISPR-Cas;Gabija;Lit;Olokun;Pycsar;R-M;Septu;Thoeris,P0015;P0029,AmpD;DUF1615 protein;TpsB;Tsx,P0001;P0007;P0011;P0012;P0014;P0015;P0016;P0017;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0044;P0045;P0046;P0047;P0048;P0050;P0052;P0053;P0054;P0057;P0059;P0060;P0061;P0063;P0065;P0067;P0070;P0071;P0073;P0076;P0079;P0080;P0081;P0083;P0084;P0085;P0086;P0087;P0088
GCA_963446185.1,292,CRISPR-Cas;Paris,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0009;P0011;P0012;P0014;P0016;P0017;P0019;P0026;P0032;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0061;P0063;P0065;P0071;P0074;P0076;P0081;P0082;P0084
GCA_963446195.1,292,AbiE;BREX;CBASS;CRISPR-Cas;Gabija;PD-Lambda-2;R-M;RloC;Shango;Zorya,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0071;P0073;P0081;P0084
GCA_963446205.1,292,AbiE;CBASS;JukAB;Mokosh;PD-T7-2;PrrC;R-M,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0015;P0016;P0046;P0054;P0081;P0087
GCA_963446225.1,292,AbiE;BREX;CBASS;CRISPR-Cas;Gabija;PD-Lambda-2;R-M;RloC;Shango;Zorya,P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0071;P0073;P0081;P0084
GCA_963446235.1,292,BstA;GAPS6;Lit;PD-Lambda-2;R-M;Retron;Thoeris;dCTPdeaminase,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,None
GCA_963446245.1,292,AbiD;Avs;BstA;CBASS;Dpd;Gabija;HEC-02;HEC-08;Hma;Prithvi;RosmerTA;Shedu,P0063,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0049;P0072;P0081
GCA_963446285.1,292,AbiD;AbiE;CBASS;CRISPR-Cas;DarTG;Druantia;Gabija;Gao_Iet;R-M;RloC;dCTPdeaminase;pAgo,P0075;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0006;P0007;P0011;P0014;P0015;P0016;P0019;P0022;P0026;P0032;P0034;P0037;P0038;P0041;P0042;P0044;P0045;P0046;P0047;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0081;P0082;P0083;P0084;P0087
GCA_963446305.1,292,Mokosh;R-M;Retron,,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0016;P0019;P0026;P0032;P0034;P0037;P0042;P0046;P0047;P0049;P0060;P0062;P0067;P0070;P0071;P0074;P0081;P0083;P0084;P0087
GCA_963446315.1,292,CRISPR-Cas;Prithvi,P0023;P0029,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0015;P0016;P0017;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0044;P0045;P0046;P0047;P0048;P0050;P0052;P0053;P0054;P0057;P0059;P0060;P0061;P0063;P0065;P0067;P0070;P0071;P0073;P0076;P0079;P0080;P0081;P0083;P0084;P0085;P0086;P0087;P0088
GCA_963446335.1,292,CBASS;CRISPR-Cas;Druantia;Gabija;Lamassu-Fam;Mokosh;PD-T7-4;Pycsar;R-M;Wadjet;Zorya,,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0021;P0034;P0037;P0038;P0040;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0071;P0072;P0081
GCA_963446345.1,292,GAPS6;Lamassu-Fam;Pycsar;R-M,P0029;P0086,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0021;P0034;P0037;P0042;P0046;P0047;P0049;P0052;P0057;P0059;P0060;P0062;P0067;P0071;P0073;P0079;P0081
GCA_963446375.1,292,AbiD;Avs;BstA;CBASS;Dpd;Gabija;RosmerTA;Shedu,P0063,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963446395.1,292,Druantia;Hachiman;Lamassu-Fam;R-M,P0029,AmpD;DUF1615 protein;TpsB,P0016;P0037;P0059;P0065;P0081
GCA_963446405.1,292,CRISPR-Cas;R-M,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0015;P0016;P0017;P0019;P0021;P0026;P0032;P0034;P0037;P0038;P0040;P0042;P0043;P0044;P0045;P0046;P0047;P0048;P0054;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0079;P0081;P0083;P0084;P0087
GCA_963446415.1,292,AbiE;CBASS;CRISPR-Cas;R-M;Retron;Thoeris,P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0045;P0046;P0047;P0048;P0052;P0057;P0059;P0060;P0062;P0065;P0067;P0071;P0073;P0074;P0079;P0081;P0084
GCA_963446455.1,292,BREX;Dsr;Gabija;Lamassu-Fam;R-M,P0050;P0081,AmpD;DUF1615 protein;Gamp2;TpsB,None
GCA_963446465.1,292,CBASS;CRISPR-Cas;R-M;Retron,P0040,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0013;P0014;P0016;P0021;P0022;P0029;P0034;P0037;P0038;P0039;P0041;P0043;P0045;P0046;P0047;P0048;P0053;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0079;P0081;P0083;P0084
GCA_963446475.1,292,BREX;Gabija;Mokosh;PD-T4-8;Pycsar;R-M;RosmerTA,P0051;P0053;P0059,AmpD;DUF1615 protein;TpsB,None
GCA_963446495.1,292,AbiD;AbiE;CBASS;CRISPR-Cas;DarTG;Gabija;Gao_Iet;R-M;pAgo,P0030;P0076,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0006;P0007;P0011;P0014;P0015;P0016;P0019;P0022;P0026;P0032;P0034;P0037;P0038;P0041;P0042;P0044;P0045;P0046;P0047;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0081;P0082;P0083;P0084;P0087
GCA_963446505.1,292,AbiD;CRISPR-Cas;R-M;Retron,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0015;P0016;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0044;P0045;P0046;P0047;P0048;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084;P0087
GCA_963446515.1,292,AbiE;CBASS;Gabija;Gao_Iet;JukAB;Lamassu-Fam;Mokosh;Pycsar;R-M;Shedu;Wadjet,P0053;P0062,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
GCA_963446525.1,292,CRISPR-Cas;DISARM;Gao_Qat;PD-Lambda-5;R-M;Retron;Septu,P0029;P0087,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0009;P0011;P0012;P0013;P0014;P0015;P0016;P0019;P0021;P0022;P0026;P0030;P0032;P0034;P0037;P0038;P0039;P0041;P0044;P0045;P0046;P0047;P0048;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0083;P0084;P0087
GCA_963446535.1,292,CBASS;CRISPR-Cas;Gao_Iet;PD-T4-5;pAgo,P0053;P0074,DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0021;P0034;P0037;P0038;P0043;P0045;P0046;P0047;P0048;P0059;P0060;P0065;P0067;P0070;P0081;P0083
GCA_963446555.1,292,BREX;Gabija;JukAB;Lamassu-Fam;Mokosh;PD-T4-8;Pycsar;R-M;RosmerTA;Shedu;Wadjet,P0015;P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0049;P0054;P0072;P0081
GCA_963446565.1,292,CRISPR-Cas;Druantia;JukAB;Lamassu-Fam;Mokosh;R-M;Shedu,P0050;P0059,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0013;P0016;P0017;P0019;P0020;P0021;P0022;P0028;P0032;P0034;P0035;P0037;P0038;P0040;P0042;P0043;P0045;P0046;P0049;P0052;P0057;P0059;P0065;P0067;P0070;P0071;P0072;P0073;P0074;P0077;P0080;P0081;P0083;P0084;P0085;P0086
GCA_963446585.1,292,AbiD;BREX;CRISPR-Cas;R-M,P0004;P0041;P0056,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0016;P0019;P0021;P0026;P0032;P0034;P0037;P0046;P0047;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0081;P0082;P0083;P0084
GCA_963446595.1,292,Bunzi;R-M;Wadjet,P0061,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0012;P0014;P0016;P0017;P0038;P0040;P0045;P0046;P0047;P0048;P0059;P0065;P0067;P0071;P0081
GCA_963446605.1,292,CRISPR-Cas;Septu,P0050;P0078,AmpD;DUF1615 protein;Gamp2;TpsB,P0004;P0007;P0008;P0011;P0012;P0014;P0015;P0016;P0018;P0021;P0022;P0030;P0034;P0037;P0038;P0042;P0044;P0045;P0046;P0047;P0048;P0049;P0052;P0054;P0057;P0058;P0059;P0060;P0062;P0065;P0067;P0070;P0071;P0073;P0074;P0078;P0079;P0081;P0083;P0084;P0087;P0088
GCA_963446615.1,292,AbiD;CRISPR-Cas;R-M;Retron,P0053,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0015;P0016;P0019;P0021;P0022;P0026;P0032;P0034;P0037;P0038;P0040;P0041;P0042;P0043;P0044;P0045;P0046;P0047;P0048;P0052;P0054;P0057;P0059;P0060;P0065;P0067;P0070;P0071;P0073;P0079;P0081;P0083;P0084;P0087
GCA_963446635.1,292,AbiH;CBASS;CRISPR-Cas;Eleos;Gabija;Mokosh;Pycsar;R-M;Septu,P0015;P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0001;P0007;P0011;P0012;P0014;P0016;P0019;P0021;P0029;P0032;P0034;P0037;P0038;P0042;P0043;P0045;P0046;P0047;P0048;P0049;P0059;P0060;P0065;P0067;P0071;P0072;P0073;P0081;P0084
GCA_963446645.1,292,AbiE;CBASS;DISARM;JukAB;Mokosh;R-M;RloC;Shedu,P0050,AmpD;DUF1615 protein;Gamp2;TpsB,P0007;P0011;P0016;P0046;P0081
